Designator,Mid X,Mid Y,Rotation,Layer
C1,29.248384,90.680745,90.0,top
C10,11.5,50.5,180.0,top
C11,25.5,63.0,90.0,top
C12,25.25,53.155,270.0,top
C13,13.0,65.5,90.0,top
C14,23.491472,61.811424,90.0,top
C15,13.0,63.0,90.0,top
C16,11.425,51.925,180.0,top
C17,13.5,48.5,270.0,top
C18,19.425,49.425,180.0,top
C19,19.425,48.425,180.0,top
C2,-1.05,90.0,0.0,top
C20,15.5,44.5,0.0,top
C21,10.0,45.0,180.0,top
C22,35.3525,64.626,90.0,top
C23,31.0,61.5,270.0,top
C24,26.5,67.0,0.0,top
C25,31.437441,57.710477,0.0,top
C26,32.0,59.0,0.0,top
C27,30.5,55.0,270.0,top
C28,2.961005,50.011573,270.0,top
C29,7.0,49.0,180.0,top
C3,14.0,93.0,180.0,top
C30,2.48,60.5,180.0,top
C31,0.309596,56.746658,270.0,top
C4,17.0,88.0,0.0,top
C5,24.120396,94.578701,90.0,top
C6,4.5,86.0,90.0,top
C7,11.63195,85.214182,180.0,top
C8,14.975,74.22,0.0,top
C9,13.75,90.675,180.0,top
CAN1,-5.482099,56.727249,270.0,top
D1,17.25,71.825,270.0,top
D2,25.248384,87.680745,180.0,top
D3,28.748384,87.680745,0.0,top
FB1,19.425,45.925,270.0,top
GPS_SERIAL1,-5.432099,68.402249,270.0,top
J1,-4.0,95.0,270.0,top
J2,9.0,106.72,180.0,top
J3,27.0,106.72,180.0,top
J4,-5.478046,45.367599,270.0,top
J5,7.5,67.0,90.0,top
J6,38.0,42.0,180.0,top
LSE1,28.8,60.9,0.0,top
MAINLED1,32.9725,64.711,270.0,top
R1,14.25,71.825,270.0,top
R10,25.5,58.5,0.0,top
R11,35.0875,72.095,90.0,top
R12,24.0,68.5,270.0,top
R13,35.0,68.51,90.0,top
R14,4.235,47.5,180.0,top
R15,7.0,51.0,90.0,top
R16,11.0,63.0,90.0,top
R17,11.425,61.425,180.0,top
R18,14.5,65.5,90.0,top
R19,-1.190404,58.246658,270.0,top
R2,24.248384,91.670745,270.0,top
R20,-1.190404,55.246658,90.0,top
R3,29.748384,92.680745,0.0,top
R4,20.75,91.675,90.0,top
R5,10.879944,98.567348,270.0,top
R6,5.39,99.62,90.0,top
R7,29.617126,97.731242,270.0,top
R8,24.117126,97.731242,90.0,top
R9,23.0,47.0,270.0,top
RESET1,11.0,35.5,0.0,top
SERIAL1,38.940139,88.356229,90.0,top
SW1,17.5,98.0,180.0,top
SW2,26.0,36.0,180.0,top
TELE1,38.5,53.175,90.0,top
U1,26.748384,91.830745,180.0,top
U10,28.333796,56.681177,90.0,top
U11,4.735,50.0,90.0,top
U12,4.6375,56.81,180.0,top
U2,0.0,83.85,90.0,top
U3,17.75,90.675,180.0,top
U4,18.74,79.0,0.0,top
U5,8.39,98.4825,270.0,top
U6,27.0,97.8625,270.0,top
U7,17.75,56.675,0.0,top
U8,15.925,47.425,90.0,top
U9,29.5,71.0,90.0,top
